epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81.575,1.17923,1.5945,0.91538,0.99602,0.95081,0.98917,0.62929,1.23596,0.67247,0.92801,0.000742625,0.000742625,0.000742625
43,83.3787,1.36039,1.701,0.93689,0.99602,0.95081,0.98917,0.62929,1.23596,0.67247,0.92801,0.00073025,0.00073025,0.00073025
44,85.1437,1.21645,1.3834,0.91544,0.99681,0.95224,0.98917,0.70178,1.07468,0.63898,0.90165,0.000717875,0.000717875,0.000717875
45,86.9667,1.19749,1.53703,0.91812,0.98682,0.99519,0.995,0.70806,1.01676,0.61818,0.89696,0.0007055,0.0007055,0.0007055
46,88.9257,1.24849,1.57331,0.92307,0.99157,1,0.995,0.70877,1.06893,0.62697,0.90439,0.000693125,0.000693125,0.000693125
47,90.9995,1.26544,1.54747,0.90927,0.96797,1,0.995,0.73482,0.98672,0.60121,0.88797,0.00068075,0.00068075,0.00068075
48,92.9624,1.13732,1.53311,0.90819,0.96864,0.98837,0.995,0.73646,1.00456,0.61913,0.8836,0.000668375,0.000668375,0.000668375
49,94.8175,1.18114,2.05721,0.912,0.97559,0.988,0.995,0.68228,1.11067,0.63029,0.89855,0.000656,0.000656,0.000656
50,96.7472,1.12471,1.40258,0.89288,0.97575,0.98806,0.995,0.69379,1.09791,0.63434,0.89658,0.000643625,0.000643625,0.000643625
51,98.9883,1.14269,1.44477,0.91669,0.97448,0.99866,0.995,0.69386,1.03919,0.61008,0.88533,0.00063125,0.00063125,0.00063125
52,100.972,1.13737,1.37849,0.87489,0.95851,1,0.995,0.76084,0.93398,0.58245,0.86889,0.000618875,0.000618875,0.000618875
53,102.791,1.02356,1.35093,0.85543,0.97798,1,0.995,0.75796,0.9241,0.56447,0.86478,0.0006065,0.0006065,0.0006065
